movie_title,director_name,genres,imdb_score,plot_keywords
WALL·E,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,8.4,earth|obesity|plant|robot|soil
Rush Hour 3,Brett Ratner,Action|Comedy|Crime|Thriller,6.2,ambassador|assassination|chinese|french|triad
2012,Roland Emmerich,Action|Adventure|Sci-Fi,5.8,ark|catastrophe|geologist|president|writer
A Christmas Carol,Robert Zemeckis,Animation|Drama|Family|Fantasy,6.8,charles dickens|christmas|christmas eve|ghost|scrooge
Jupiter Ascending,Lana Wachowski,Action|Adventure|Sci-Fi,5.4,box office flop|critically bashed|planet earth|space opera|woman in bra and panties
The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,6.6,africa|capture|jungle|male objectification|tarzan
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Adventure|Family|Fantasy,6.9,hide and seek|lion|magic|professor|snow
X-Men: Apocalypse,Bryan Singer,Action|Adventure|Sci-Fi,7.3,mutant|superhero|superhero team|x men|year 1983
The Dark Knight,Christopher Nolan,Action|Crime|Drama|Thriller,9.0,based on comic book|dc comics|psychopath|star died before release|urban setting
Up,Pete Docter,Adventure|Animation|Comedy|Family,8.3,balloon|house|promise|retirement|skeleton
Monsters vs. Aliens,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,6.5,alien|alien invasion|alien space craft|giant|giantess
Iron Man,Jon Favreau,Action|Adventure|Sci-Fi,7.9,afghanistan|billionaire|inventor|playboy|u.s. air force
Hugo,Martin Scorsese,Adventure|Drama|Family|Mystery,7.5,automaton|mechanical|railway station|steampunk|train
Wild Wild West,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,4.8,buddy movie|general|inventor|steampunk|utah
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,5.2,army|china|emperor|mummy|shangri la
Suicide Squad,David Ayer,Action|Adventure|Comedy|Sci-Fi,6.9,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain
Evan Almighty,Tom Shadyac,Comedy|Family|Fantasy,5.4,ark|change|congressman|depiction of god|flood
Edge of Tomorrow,Doug Liman,Action|Adventure|Sci-Fi,7.9,alien|combat|dying repeatedly|end of the world|time loop
Waterworld,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,6.1,future|sail|sea|smoker|water
G.I. Joe: The Rise of Cobra,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,5.8,cobra|gi joe|snake|train|warhead
Inside Out,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,8.3,anger|joy|memory|running away|sadness
The Jungle Book,Jon Favreau,Adventure|Drama|Family|Fantasy,7.8,fire|jungle|remake|tiger|wolf
Iron Man 2,Jon Favreau,Action|Adventure|Sci-Fi,7.0,hammer|military|monaco|revenge|tony stark
Snow White and the Huntsman,Rupert Sanders,Action|Adventure|Drama|Fantasy,6.1,evil queen|fairy tale|magic|queen|snow white
Maleficent,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,7.0,curse|dark fantasy|fairy|king|kingdom
Dawn of the Planet of the Apes,Matt Reeves,Action|Adventure|Drama|Sci-Fi,7.6,ape|dam|leader|post apocalypse|sequel
The Lovers,Roland Joffé,Action|Adventure|Romance|Sci-Fi,4.5,1770s|british india|great barrier reef|india|ring
47 Ronin,Carl Rinsch,Action|Adventure|Drama|Fantasy,6.3,box office flop|ronin|samurai|shogun|tournament
Captain America: The Winter Soldier,Anthony Russo,Action|Adventure|Sci-Fi,7.8,conspiracy|heroism|megalomaniac|super soldier|world domination
Shrek Forever After,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,6.4,alternate world|fairy tale parody|female warrior|ogre|true love
Tomorrowland,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,6.5,boy genius|futuristic city|inventor|teenage girl|time travel
Big Hero 6,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,7.9,high tech|martial arts|masked man|robot|superhero
Wreck-It Ralph,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,7.8,arcade|candy|glitch|king|medal
The Polar Express,Robert Zemeckis,Adventure|Animation|Family|Fantasy,6.6,boy|christmas|christmas eve|north pole|train
Independence Day: Resurgence,Roland Emmerich,Action|Adventure|Sci-Fi,5.5,alien|battle|defense|independence day|mothership
How to Train Your Dragon,Dean DeBlois,Adventure|Animation|Family|Fantasy,8.2,dragon|island|training|viking|village
Terminator 3: Rise of the Machines,Jonathan Mostow,Action|Sci-Fi,6.4,drifter|exploding truck|future|machine|skynet
Guardians of the Galaxy,James Gunn,Action|Adventure|Sci-Fi,8.1,bounty hunter|outer space|raccoon|talking animal|tree
Interstellar,Christopher Nolan,Adventure|Drama|Sci-Fi,8.6,black hole|father daughter relationship|saving the world|space travel|wormhole
Inception,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,8.8,ambiguous ending|corporate espionage|dream|subconscious|thief
Godzilla Resurgence,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,8.2,blood|godzilla|monster|sequel
The Hobbit: An Unexpected Journey,Peter Jackson,Adventure|Fantasy,7.9,dragon|dwarf|hobbit|orc|wizard
The Fast and the Furious,Rob Cohen,Action|Crime|Thriller,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop
The Curious Case of Benjamin Button,David Fincher,Drama|Fantasy|Romance,7.8,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging
X-Men: First Class,Matthew Vaughn,Action|Adventure|Sci-Fi,7.8,cia|cia agent|mutant|nuclear war|professor
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Adventure|Sci-Fi,6.6,death of sister|dystopia|execution|rebellion|revolution
The Sorcerer's Apprentice,Jon Turteltaub,Action|Adventure|Family|Fantasy,6.1,chosen one|enchanted object|love|spell|training
Poseidon,Wolfgang Petersen,Action|Adventure|Drama|Thriller,5.6,cruise|escape|ocean|passenger|water
Alice Through the Looking Glass,James Bobin,Adventure|Family|Fantasy,6.4,clock|dark fantasy|mad hatter|queen|sequel
Shrek the Third,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,6.1,disney spoof|fairy tale|prince|princess|tough guy
Warcraft,Duncan Jones,Action|Adventure|Fantasy,7.3,based on video game|fictional language|fictional war|orc|sword and sorcery
Terminator Genisys,Alan Taylor,Action|Adventure|Sci-Fi,6.6,alternate timeline|cyborg|future|robot|time machine
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Adventure|Family|Fantasy,6.3,dragon|king|mouse|quest|warrior
Pearl Harbor,Michael Bay,Action|Drama|History|Romance|War,6.1,air raid|black smoke|japanese military|japanese navy|sunday
Transformers,Michael Bay,Action|Adventure|Sci-Fi,7.1,alien contact|autobot|decepticon|robot vs. robot|teenage hero
Alexander,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,5.5,ancient greece|conquest|greek|greek myth|king
Harry Potter and the Order of the Phoenix,David Yates,Adventure|Family|Fantasy|Mystery,7.5,battle|magic|school|teacher|wizard
Harry Potter and the Goblet of Fire,Mike Newell,Adventure|Family|Fantasy|Mystery,7.6,fire|goblet|magic|tournament|wizard
Hancock,Peter Berg,Action|Drama,6.4,bully comeuppance|destruction|prison|superhero|tough girl
I Am Legend,Francis Lawrence,Drama|Horror|Sci-Fi,7.2,new york city|pandemic|post apocalypse|survivalist|virus
Charlie and the Chocolate Factory,Tim Burton,Adventure|Comedy|Family|Fantasy,6.7,chocolate|diminution|miniaturization|physical flexability|ticket
Ratatouille,Brad Bird,Animation|Comedy|Family|Fantasy,8.0,chef|food|french|rat|restaurant
Batman Begins,Christopher Nolan,Action|Adventure,8.3,armored car|gangster|gotham|mixed martial arts|social decay
Madagascar: Escape 2 Africa,Eric Darnell,Action|Adventure|Animation|Comedy|Family,6.7,africa|madagascar|new york city|sequel|zoo
Night at the Museum: Battle of the Smithsonian,Shawn Levy,Adventure|Comedy|Family|Fantasy,5.9,hdtv|motorcycle|museum|security guard|tyrannosaurus rex
X-Men Origins: Wolverine,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.7,army|civil war|claw fight|commando|wolverine the character
The Matrix Revolutions,Lana Wachowski,Action|Sci-Fi,6.7,battle|epic|fight|future|machine
Frozen,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,7.6,magic|sister love|sister sister relationship|snow|snowman
The Matrix Reloaded,Lana Wachowski,Action|Sci-Fi,7.2,car motorcycle chase|one against many|oracle|prophecy|stylized violence
Thor: The Dark World,Alan Taylor,Action|Adventure|Fantasy,7.1,arrest|portal|thor|warrior|weapon
Mad Max: Fury Road,George Miller,Action|Adventure|Sci-Fi|Thriller,8.1,australia|desert|escape|on the run|post apocalypse
Angels & Demons,Ron Howard,Mystery|Thriller,6.7,conclave|illuminati|murder|reference to bernini|reference to raphael
Thor,Kenneth Branagh,Action|Adventure|Fantasy,7.0,battle|marvel cinematic universe|scientist|thor|throne
Bolt,Byron Howard,Adventure|Animation|Comedy|Drama|Family,6.9,cat|dog|hamster|new york city|superpower
G-Force,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,5.1,fbi director|guinea pig|household appliance|secret agent|talking mouse
Wrath of the Titans,Jonathan Liebesman,Action|Adventure|Fantasy,5.8,ares|hades|titan|underworld|zeus
Dark Shadows,Tim Burton,Comedy|Fantasy|Horror,6.2,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup
Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action|Adventure|Thriller,7.4,capture|computer hacker|mission|rogue agent|spy
The Wolfman,Joe Johnston,Drama|Fantasy|Horror|Thriller,5.8,asylum|death|full moon|transformation|werewolf
The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,6.6,africa|capture|jungle|male objectification|tarzan
Bee Movie,Steve Hickner,Adventure|Animation|Comedy|Family,6.2,bee|dream sequence|egg|scatological humor|squashed bug
Kung Fu Panda 2,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,7.3,china|kung fu|panda|peacock|tigress
The Last Airbender,M. Night Shyamalan,Action|Adventure|Family|Fantasy,4.2,avatar|fire|kingdom|tribe|water
Mission: Impossible III,J.J. Abrams,Action|Adventure|Thriller,6.9,arms dealer|fictional government agency|mission|rescue|vatican
White House Down,Roland Emmerich,Action|Drama|Thriller,6.4,black u.s. president|president|secret service|tour|white house
Mars Needs Moms,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,5.4,boy|martian|rescue|robot|sexism
Flushed Away,David Bowers,Adventure|Animation|Comedy|Family,6.7,boat|frog|rat|sewer|toad
Pan,Joe Wright,Adventure|Family|Fantasy,5.8,1940s|child hero|fantasy world|orphan|reference to peter pan
Mr. Peabody & Sherman,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,6.9,dog|father son relationship|inventor|talking dog|time travel
Troy,Wolfgang Petersen,Adventure,7.2,greek|mythology|prince|trojan|troy
Madagascar 3: Europe's Most Wanted,Eric Darnell,Adventure|Animation|Comedy|Family,6.9,animal|circus|island name in title|lemur|penguin
Die Another Day,Lee Tamahori,Action|Adventure|Thriller,6.1,catfight|clinic|colonel|diamond|patricide
Ghostbusters,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,5.5,ghost|ghostbuster|ghostbusters|male objectification|reboot
Armageddon,Michael Bay,Action|Adventure|Sci-Fi|Thriller,6.6,asteroid|astronaut|bomb|meteorite|outer space
Men in Black II,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,6.1,alien|lingerie|lingerie model|m.i.b.|pug
Beowulf,Robert Zemeckis,Action|Adventure|Animation|Fantasy,6.3,creature|demon|king|reward|warrior
Kung Fu Panda 3,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,7.2,china|kung fu|panda|pig|village
Mission: Impossible - Ghost Protocol,Brad Bird,Action|Adventure|Thriller,7.4,dubai|kremlin|race against time|russian|terrorist
Rise of the Guardians,Peter Ramsey,Adventure|Animation|Family|Fantasy,7.3,belief|box office hit|children|new york city|tooth
Fun with Dick and Jane,Dean Parisot,Comedy|Crime,6.1,animal abuse|ceo|heist|suburb|unemployment
The Last Samurai,Edward Zwick,Action|Drama|History|War,7.7,captain|emperor|honor|japan|samurai
Exodus: Gods and Kings,Ridley Scott,Action|Adventure|Drama,6.1,egypt|exodus|moses|pharaoh|plague
Star Trek,J.J. Abrams,Action|Adventure|Sci-Fi,8.0,box office hit|future|lifted by the throat|star trek|vulcan
Spider-Man,Sam Raimi,Action|Adventure|Fantasy|Romance,7.3,evil|goblin|spider|spider man|superhero
How to Train Your Dragon 2,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,7.9,dragon|father son relationship|husband wife relationship|mother son relationship|viking
Gods of Egypt,Alex Proyas,Action|Adventure|Fantasy,5.5,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess
Stealth,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,5.0,artificial intelligence|box office flop|fighter jet|navy|pilot
Watchmen,Zack Snyder,Action|Drama|Mystery|Sci-Fi,7.7,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity
Lethal Weapon 4,Richard Donner,Action|Crime|Thriller,6.6,kung fu|lapd|martial arts|private investigator|triad
Hulk,Ang Lee,Action|Sci-Fi,5.7,1980s|c 130 hercules|monster|panzer|san francisco california
G.I. Joe: Retaliation,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,5.8,general|gi joe|martial arts|ninja|president
Sahara,Breck Eisner,Action|Adventure|Comedy|Thriller,6.0,beach|civil war|desert|dictator|ship
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,6.4,general|military|scientist|soldier|year 2065
Captain America: The First Avenger,Joe Johnston,Action|Adventure|Sci-Fi,6.9,arctic|captain america|scientist|tesseract|war bond
The World Is Not Enough,Michael Apted,Action|Adventure|Thriller,6.4,british|oil|scientist|terrorist|tycoon
Master and Commander: The Far Side of the World,Peter Weir,Action|Adventure|Drama|History|War,7.4,1800s|napoleonic wars|pursuit|royal navy|ship
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,5.5,battle|friend|super strength|vampire|vision
Happy Feet 2,George Miller,Animation|Comedy|Family|Musical,5.9,3d|antarctica|krill|penguin|sequel
The Incredible Hulk,Louis Leterrier,Action|Adventure|Sci-Fi,6.8,antidote|cure|hulk|marvel cinematic universe|opening action scene
Miami Vice,Unknown,Action|Crime|Drama|Mystery|Thriller,7.5,cult tv|detective|drugs|police|undercover
The BFG,Steven Spielberg,Adventure|Family|Fantasy,6.8,cannibal|evil brother|giant|london england|queen
The Revenant,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,8.1,bear attack|cauterizing a wound|native american|revenge|survival
Turbo,David Soren,Adventure|Animation|Comedy|Family|Sport,6.5,accident|freak accident|race|snail|underdog
Rango,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,7.2,chameleon|lizard|sheriff|water|western town
Penguins of Madagascar,Eric Darnell,Adventure|Animation|Comedy|Family,6.7,little girl|park|spy|statue of liberty|television van
The Bourne Ultimatum,Paul Greengrass,Action|Mystery|Thriller,8.1,action hero|cia|dark past|flashback|memory
Kung Fu Panda,Mark Osborne,Action|Adventure|Animation|Comedy|Family,7.6,kung fu|kung fu master|master|panda|snow leopard
Ant-Man,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,7.4,ant|chinatown san francisco|heist|sabotage|vault
The Hunger Games: Catching Fire,Francis Lawrence,Adventure|Sci-Fi|Thriller,7.6,president|snow|television|tour|uprising
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,5.5,battle|friend|super strength|vampire|vision
Home,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,6.7,alien friendship|alien invasion|australia|flying car|mother daughter relationship
War of the Worlds,Steven Spielberg,Adventure|Sci-Fi|Thriller,6.5,alien|fight|storm|survival|tripod
Bad Boys II,Michael Bay,Action|Comedy|Crime|Thriller,6.6,cuba|dea|drugs|money|undercover
Puss in Boots,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,6.7,betrayal|egg|friend|goose|hero
Salt,Phillip Noyce,Action|Crime|Mystery|Thriller,6.4,cia|on the run|russian|russian spy|strong female lead
Noah,Darren Aronofsky,Action|Adventure|Drama,5.8,ark|flood|noah's ark|water|wrath of god
The Adventures of Tintin,Steven Spielberg,Action|Adventure|Family|Mystery,7.4,captain|morocco|ship|tintin|treasure
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,7.8,magic|muggle|serial killer|traitor|wizard
Australia,Baz Luhrmann,Adventure|Drama|Romance|War,6.6,australia|cattle|darwin|drover|japanese
After Earth,M. Night Shyamalan,Action|Adventure|Sci-Fi,4.9,box office flop|father son team|fear|race against time|real life father and son playing father and son
Dinosaur,Eric Leighton,Adventure|Animation|Family|Thriller,6.5,egg|iguanodon|lemur|meteor|nesting grounds
Harry Potter and the Deathly Hallows: Part II,Matt Birch,Action|Fantasy,7.5,
Night at the Museum: Secret of the Tomb,Shawn Levy,Adventure|Comedy|Family|Fantasy,6.2,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet
Megamind,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,7.3,battle|city|planet|prison|superhero
Harry Potter and the Sorcerer's Stone,Chris Columbus,Adventure|Family|Fantasy,7.5,based on novel|birthday|evil wizard|quidditch|wizard
R.I.P.D.,Robert Schwentke,Action|Comedy|Fantasy,5.6,drug dealer|gold|partner|police|undead
Godzilla Resurgence,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,8.2,blood|godzilla|monster|sequel
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Action|Adventure|Fantasy,8.1,caribbean|curse|governor|pirate|undead
Harry Potter and the Deathly Hallows: Part I,Matt Birch,Fantasy,6.4,
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Adventure|Sci-Fi|Thriller,6.7,based on young adult novel|manipulation|rebellion|symbol|uprising
The Da Vinci Code,Ron Howard,Mystery|Thriller,6.6,based on supposedly true story|holy grail|mary magdalene|opus dei|secret
Rio 2,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,6.4,amazon|bird|father in law|jungle|no opening credits
X-Men 2,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,7.5,mutant|prison|professor|school|x men
Fast Five,Justin Lin,Action|Crime|Thriller,7.3,drug lord|drugs|federal agent|heist|police
Sherlock Holmes: A Game of Shadows,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,7.5,factory|gypsy|investigation|sherlock holmes|train
Clash of the Titans,Louis Leterrier,Action|Adventure|Fantasy,5.8,famous line|hand to hand combat|kraken|rape|zeus
Total Recall,Paul Verhoeven,Action|Sci-Fi,7.5,ambiguous ending|false memory|implanted memory|memory|space colony
The 13th Warrior,John McTiernan,Action|Adventure|History,6.6,arab|battle|combat|viking|warrior
The Bourne Legacy,Tony Gilroy,Action|Adventure|Thriller,6.7,assassin|cia|drone|pill|wolf
Batman & Robin,Joel Schumacher,Action,3.7,butler|critically bashed|cure|freeze|gotham
How the Grinch Stole Christmas,Ron Howard,Comedy|Family|Fantasy,6.0,box office hit|christmas|materialism|public humiliation|snowflake
The Day After Tomorrow,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,6.4,climate|end of the world|global warming|natural disaster|weather
Mission: Impossible II,John Woo,Action|Adventure|Thriller,6.1,cure|mission|terrorist|thief|virus
The Perfect Storm,Wolfgang Petersen,Action|Adventure|Drama|Thriller,6.4,death|fish|fishing|sea|storm
Fantastic 4: Rise of the Silver Surfer,Tim Story,Action|Adventure|Sci-Fi|Thriller,5.6,fantastic four|space|strong female character|strong female lead|superheroine
Life of Pi,Ang Lee,Adventure|Drama|Fantasy,8.0,animal|faith|india|journey|tiger
Ghost Rider,Mark Steven Johnson,Action|Fantasy|Thriller,5.2,blackheart|devil|father|ghost|mephistopheles
Jason Bourne,Paul Greengrass,Action|Thriller,7.1,black ops|chase|cia|cia agent|repeated scene
Charlie's Angels: Full Throttle,McG,Action|Adventure|Comedy|Crime,4.8,fbi|murder|ring|witness protection|witness protection program
Prometheus,Ridley Scott,Adventure|Mystery|Sci-Fi,7.0,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation
Stuart Little 2,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,5.4,anthropomorphic mouse|falcon|marshmallow|second part|soccer
